,property-location,h-beds,h-baths,info-row price
120,"  Nyari, Westlands", 4, 5,"KES 120,000 per month"
121,"  Mlolongo - Mombasa Road , Mombasa Road", 3, 2,"KES 161,475 per month"
122,"  Kilimani, Dagoretti North", 3, 3,"KES 100,000 per month"
123,"  Kiambu Road Near Windsor, Kiambu Road", 3, 3,"KES 290,000 per month"
124,"  Loresho Ridge Road., Loresho, Westlands", 2, 3,"KES 120,000 per month"
125,"  Karen, Langata", 3, 5,"KES 90,000 per month"
126,"  Fourways, Kiambu Road", 4, 1,"KES 106,000 per month"
127,"  Off Kiambu Rd , Kiambu Road", 2, 4,"KES 250,000 per month"
128,"  Off Kiambu Rd, Kiambu Road", 4, 2,"KES 80,000 per month"
129,"  Kyuna, Westlands", 3, 4,"KES 250,000 per month"
130,"  Hurlingham, Dagoretti North", 3, 5,"KES 200,000 per month"
131,"  Kilimani, Dagoretti North", 3, 2,"KES 160,000 per month"
132,"  Loresho, Westlands", 3, 3,"KES 55,000 per month"
133,"  Lavington, Dagoretti North", 3, 3,"KES 180,000 per month"
134,"  Lavington, Dagoretti North", 5, 4,"KES 550,000 per month"
135,"  Mawensi Road Off Elgon Road, Kilimani, Dagoretti North", 3, 2,"KES 230,000 per month"
136,"  Karen, Langata", 4, 3,"KES 150,000 per month"
137,"  Three Dee Lane, Karen, Langata", 3, 1,"KES 140,000 per month"
138,"  New Kitisuru, Kitisuru, Westlands", 2, 3,"KES 45,000 per month"
139,"  Riverside Drive, Nairobi , Riverside, Westlands", 4, 5,"KES 120,000 per month"
140,"  Maua Close - Off Parklands Road , Westlands Area, Westlands", 2, 2,"KES 90,000 per month"
141,"  Lower Kabete, Kilimani, Dagoretti North", 2, 3,"KES 95,000 per month"
142,"  Kileleshwa, Dagoretti North", 2, 3,"KES 100,000 per month"
143,"  Runda Paradise, Kiambu Road", 3, 4,"KES 130,000 per month"
144,"  Kileleshwa, Dagoretti North", 4, 2,"KES 120,000 per month"
145,"  Karen, Langata", 3, 2,"KES 90,000 per month"
146,"  Athiru Road, Lavington, Dagoretti North", 4, 4,"KES 80,000 per month"
147,"  Rhapta Road, Mountain View, Westlands", 4, 4,"KES 140,000 per month"
148,"  Suguta Road, Kileleshwa, Dagoretti North", 4, 2,"KES 75,000 per month"
149,"  Kikambala Road, Kileleshwa, Dagoretti North", 5, 2,"KES 130,000 per month"
150,"  Old Muthaiga, Muthaiga", 4, 3,"KES 250,000 per month"
151,"  General Mathenge, Westlands", 4, 3,"KES 270,000 per month"
152,"  Dennis Pritt, Dagoretti North", 4, 2,"KES 100,000 per month"
153,"  Industrial Area, Embakasi North", 4, 4,"KES 360,000 per month"
154,"  Karen, Langata", 1, 2,"KES 180,000 per month"
155,"  Lavington, Dagoretti North", 2, 3,"KES 230,000 per month"
156,"  Muthangari, Waiyaki Way, Westlands", 2, 1,"KES 180,000 per month"
157,"  Nyari, Westlands", 3, 3,"KES 350,000 per month"
158,"  Kirichwa Road, Kilimani, Dagoretti North", 2, 4,"KES 60,000 per month"
159,"  Kilimani, Dagoretti North", 5, 2,"KES 79,000 per month"
160,"  Church Road, Waiyaki Way, Westlands", 3, 5,"KES 260,000 per month"
161,  Kiambu Road, 2, 4,"KES 65,000 per month"
162,"  Karen, Langata", 3, 3,"KES 300,000 per month"
163,"  Kileleshwa, Dagoretti North", 2, 5,"KES 200,000 per month"
164,"  General Mathenge , Kitisuru, Westlands", 3, 3,"KES 180,000 per month"
165,"  Riara Road, Dagoretti North", 3, 3,"KES 150,000 per month"
166,"  3Ke1454713 , Kileleshwa, Dagoretti North", 3, 2,"KES 180,000 per month"
167,"  Lower Kabete, Westlands", 1, 3,"KES 435,142 per month"
168,"  Brookside, Westlands", 4, 3,"KES 150,000 per month"
169,"  General Mathenge, Kitisuru, Westlands", 3, 4,"KES 200,000 per month"
170,"  General Mathenge, Kitisuru, Westlands", 4, 3,"KES 205,000 per month"
171,"  General Mathenge, Kitisuru, Westlands", 4, 4,"KES 160,000 per month"
172,"  Jabavu, Kilimani, Dagoretti North", 1, 3,"KES 86,000 per month"
173,"  Kileleshwa, Dagoretti North", 3, 3,"KES 90,000 per month"
174,"  Kilimani, Dagoretti North", 3, 2,"KES 100,000 per month"
175,"  Parklands, Westlands", 4, 6,"KES 200,000 per month"
176,"  Dennis Pritt , Kilimani, Dagoretti North", 3, 4,"KES 210,000 per month"
177,"  Spring Valley, Westlands", 2, 3,"KES 250,000 per month"
178,"  Kileleshwa, Dagoretti North", 4, 2,"KES 80,000 per month"
179,"  Lavington, Dagoretti North", 2, 3,"KES 55,000 per month"
180,"  Riverside, Westlands", 3, 2,"KES 230,000 per month"
181,"  Safari Park, Thika Road, Thika Road", 3, 4,"KES 45,000 per month"
182,"  Vanga Close, Lavington, Dagoretti North", 6, 1,"KES 70,000 per month"
183,"  Donyo Sabuk Lane,, General Mathenge, Westlands", 2, 4,"KES 130,000 per month"
184,"  Riverside, Westlands", 2, 3,"KES 260,000 per month"
185,"  Rhapta Road, Westlands", 3, 5,"KES 150,000 per month"
186,"  Riara Road, Dagoretti North", 3, 3,"KES 90,000 per month"
187,"  Lavington, Dagoretti North", 4, 2,"KES 70,000 per month"
188,"  General Mathenge, Westlands", 3, 3,"KES 200,000 per month"
189,"  Karen, Langata", 2, 4,"KES 100,000 per month"
190,"  Lavington, Dagoretti North", 2, 5,"KES 75,000 per month"
191,"  Kolobot Drive, Kileleshwa, Dagoretti North", 5, 1,"KES 180,000 per month"
192,"  New Kitisuru, Westlands Area, Westlands", 4, 5,"KES 45,000 per month"
193,"  Usiu Rd, Thika Road", 3, 8,"KES 85,000 per month"
194,"  Westlands Area, Westlands", 2, 6,"KES 280,000 per month"
195,"  Kilimani, Dagoretti North", 3, 1,"KES 150,000 per month"
196,"  Mzima Springs, Lavington, Dagoretti North", 4, 2,"KES 275,000 per month"
197,"  Upper Hill, Langata", 2, 2,"KES 60,000 per month"
198,"  Westlands, Rhapta Road, Rhapta Road, Westlands", 4, 2,"KES 120,000 per month"
199,"  Hurlingham, Dagoretti North", 2, 3,"KES 190,000 per month"
200,"  Thigiri, Westlands", 4, 5,"KES 600,000 per month"
201,  Thika Road, 1, 1,"KES 85,000 per month"
202,"  Fourways Junction , Ridgeways", 3, 3,"KES 50,000 per month"
203,"  Westlands. Off Rhapta Road, Rhapta Road, Westlands", 3, 5,"KES 90,000 per month"
204,"  Westlands, Rhapta Road, Westlands", 4, 5,"KES 85,000 per month"
205,"  Elgeyo Markwet, Kilimani, Dagoretti North", 2, 4,"KES 140,000 per month"
206,"  Westlands Avenue, Westlands Area, Westlands", 4, 3,"KES 100,000 per month"
207,"  Kingara Road, Kilimani, Dagoretti North", 4, 2,"KES 130,000 per month"
208,  Ngong Road, 3, 2,"KES 60,000 per month"
209,"  Rhapta Rd, Westlands Area, Westlands", 4, 4,"KES 280,000 per month"
210,"  Gigiri, Westlands", 3, 3,"KES 260,000 per month"
211,"  Westlands, Riverside, Westlands", 3, 2,"KES 70,000 per month"
212,  Kiambu Road, 3, 6,"KES 50,000 per month"
213,"  Kileleshwa, Dagoretti North", 3, 5,"KES 180,000 per month"
214,"  Laikipia Road, Kileleshwa, Dagoretti North", 3, 4,"KES 240,000 per month"
215,"  Riverside Apartment , Riverside, Westlands", 2, 5,"KES 110,000 per month"
216,"  Kilimani, Dagoretti North", 3, 4,"KES 180,000 per month"
217,"  Riverside Drive, Riverside, Westlands", 3, 7,"KES 100,000 per month"
218,"  Ngong Rd, Kilimani, Dagoretti North", 4, 3,"KES 100,000 per month"
219,"  Matundu Close Off School Lane, Westlands Area, Westlands", 2, 6,"KES 80,000 per month"
220,"  Narayan Road , Parklands, Westlands", 3, 4,"KES 240,000 per month"
221,"  Old Muthaiga, Muthaiga", 2, 3,"KES 380,000 per month"
222,"  General Mathenge, Westlands", 2, 5,"KES 200,000 per month"
223,"  General Mathenge, Westlands Area, Westlands", 3, 2,"KES 190,000 per month"
224,"  Imara Daima Road, Mombasa Road", 2, 3,"KES 1,547,440 per month"
225,"  Riverside Drive, Kilimani, Dagoretti North", 5, 5,"KES 85,000 per month"
226,"  Riverside, Westlands", 3, 3,"KES 100,000 per month"
227,"  Brookside Drive , Westlands Area, Westlands", 3, 4,"KES 150,000 per month"
228,"  Kilimani, Dagoretti North", 3, 3,"KES 75,000 per month"
229,"  Kileleshwa, Dagoretti North", 3, 4,"KES 265,000 per month"
230,"  Kilimani, Dagoretti North", 3, 3,"KES 120,000 per month"
231,"  Riara Road, Kilimani, Dagoretti North", 4, 4,"KES 100,000 per month"
232,"  Brookside, Westlands", 1, 5,"KES 200,000 per month"
233,"  Westlands Area, Westlands", 3, 4,"KES 170,000 per month"
234,"  Riverside Shiloh Place Apartment, Riverside, Westlands", 3, 2,"KES 170,000 per month"
235,"  Brookside, Westlands", 5, 2,"KES 170,000 per month"
236,"  Wambugu Road, Parklands, Westlands", 2, 1,"KES 105,000 per month"
237,"  Peponi Plaza, Westlands Area, Westlands", 2, 3,"KES 225,000 per month"
238,"  School Lane, Parklands, Westlands", 3, 3,"KES 95,000 per month"
239,"  Kyuna, Westlands", 3, 5,"KES 200,000 per month"
240,"  Kilimani, Dagoretti North", 5, 3,"KES 110,000 per month"
241,"  Mpaka Road, Parklands, Westlands", 4, 4,"KES 180,000 per month"
242,"  Karen, Langata", 1, 2,"KES 50,000 per month"
243,"  Othaya Rd, Kileleshwa, Dagoretti North", 5, 2,"KES 200,000 per month"
244,"  Dennis Pritt Road, Kilimani, Dagoretti North", 11, 3,"KES 120,000 per month"
245,"  Westlands Area, Westlands", 6, 4,"KES 180,000 per month"
246,"  Red Hill Drive, Nyari, Westlands", 1, 2,"KES 300,000 per month"
247,"  Kilimani, Dagoretti North", 3, 3,"KES 180,000 per month"
248,"  Elgeyo Marakwet Road, Kilimani, Dagoretti North", 2, 3,"KES 120,000 per month"
249,"  Laikipia Road, Kileleshwa, Dagoretti North", 2, 4,"KES 180,000 per month"
250,"  Kilimani, Dagoretti North", 3, 4,"KES 95,000 per month"
251,"  Westlands Area, Westlands", 4, 2,"KES 150,000 per month"
252,"  Kilimani, Dagoretti North", 3, 2,"KES 140,000 per month"
253,"  Grevillea Grove, Spring Valley, Westlands", 3, 4,"KES 200,000 per month"
254,"  Kilimani, Dagoretti North", 5, 5,"KES 100,000 per month"
255,"  Kilimani, Dagoretti North", 4, 5,"KES 90,000 per month"
256,"  Kyuna, Westlands", 4, 3,"KES 300,000 per month"
257,"  Kilimani, Dagoretti North", 4, 3,"KES 180,000 per month"
258,"  Kilimani, Dagoretti North", 5, 3,"KES 180,000 per month"
259,"  Dennis Pritt, Kilimani, Dagoretti North", 1, 4,"KES 180,000 per month"
260,"  Parklands, Westlands", 4, 3,"KES 85,000 per month"
261,"  Wood Avenue, St Martin's Court, Kilimani, Dagoretti North", 2, 4,"KES 200,000 per month"
262,"  Spring Valley Road , Spring Valley, Westlands", 3, 2,"KES 1,006,938 per month"
263,"  Off Convent Drive , Lavington, Dagoretti North", 3, 3,"KES 170,000 per month"
264,"  Mugoiri Road, Kileleshwa, Dagoretti North", 2, 2,"KES 80,000 per month"
265,"  Karenplain, Karen, Langata", 2, 5,"KES 320,000 per month"
266,"  Rhapta Rd, Westlands Area, Westlands", 2, 1,"KES 450,000 per month"
267,"  Kileleshwa, Dagoretti North", 5, 4,"KES 150,000 per month"
268,"  Kilimani, Dagoretti North", 5, 4,"KES 110,000 per month"
269,"  Kirichwa Road, Kilimani, Dagoretti North", 4, 6,"KES 110,000 per month"
270,"  Karura, Westlands", 5, 2,"KES 61,000 per month"
271,"  Westlands Area, Westlands", 2, 2,"KES 110,000 per month"
272,"  Brookeside Estate, Brookside, Westlands", 6, 2,"KES 180,000 per month"
273,"  Redhill Road, Nyari, Westlands", 4, 2,"KES 330,000 per month"
274,"  Near Kasuku Center, Kileleshwa, Dagoretti North", 2, 3,"KES 110,000 per month"
275,"  Riverside, Westlands", 6, 2,"KES 200,000 per month"
276,"  Old Muthaiga, Muthaiga", 2, 4,"KES 450,000 per month"
277,"  Kitisuru, Westlands", 4, 3,"KES 250,000 per month"
278,"  Parklands, Westlands", 2, 2,"KES 209,000 per month"
279,"  Off Ruaka Road, Runda, Westlands", 4, 3,"KES 210,000 per month"
280,"  Muhoya Avenue , Lavington, Dagoretti North", 5, 5,"KES 450,000 per month"
281,"  Nairobi West, Langata", 3, 4,"KES 48,000 per month"
282,"  Kileleshwa, Dagoretti North", 4, 4,"KES 125,000 per month"
283,"  Kileleshwa, Dagoretti North", 5, 3,"KES 140,000 per month"
284,"  Gatundu Cres Road, Kileleshwa, Dagoretti North", 4, 2,"KES 110,000 per month"
285,"  Kileleshwa, Dagoretti North", 5, 4,"KES 200,000 per month"
286,"  Kileleshwa, Dagoretti North", 5, 2,"KES 100,000 per month"
287,"  Kileleshwa, Dagoretti North", 2, 2,"KES 90,000 per month"
288,"  Kileleshwa, Dagoretti North", 4, 3,"KES 85,000 per month"
289,"  Farasi Lane, Lower Kabete, Westlands", 4, 2,"KES 300,000 per month"
290,"  Kileleshwa, Dagoretti North", 3, 4,"KES 250,000 per month"
291,"  Muthaiga Area, Muthaiga", 4, 5,"KES 250,000 per month"
292,"  Lone Tree, Rosslyn, Westlands", 4, 2,"KES 400,000 per month"
293,"  Sports Road, Westlands Area, Westlands", 3, 2,"KES 120,000 per month"
294,"  Lavington, Dagoretti North", 2, 4,"KES 190,000 per month"
295,"  Old Muthaiga, Muthaiga", 4, 4,"KES 490,000 per month"
296,"  Nyari Estate, Nyari, Westlands", 3, 2,"KES 165,000 per month"
297,"  Westlands Area, Westlands", 3, 1,"KES 600,000 per month"
298,"  Parklands, Westlands", 5, 4,"KES 105,000 per month"
299,"  Gen. Mathege Road, Westlands Area, Westlands", 4, 4,"KES 250,000 per month"
300,"  Lavington, Dagoretti North", 2, 3,"KES 75,000 per month"
301,"  Karen, Langata", 2, 4,"KES 300,000 per month"
302,"  Karen, Langata", 2, 3,"KES 150,000 per month"
303,"  Loresho, Westlands", 2, 3,"KES 170,000 per month"
304,"  Grevillea Grove , Brookside, Westlands", 2, 4,"KES 220,000 per month"
305,"  Riara, Lavington, Riara Road, Dagoretti North", 2, 4,"KES 190,000 per month"
306,"  Ngong Road , Kilimani, Dagoretti North", 3, 3,"KES 100,000 per month"
307,"  Muthithi Place, Westlands Area, Westlands", 6, 5,"KES 201,750 per month"
308,"  Kitisuru, Westlands", 4, 2,"KES 20,000 per month"
309,"  Waiyaki Service Road, Waiyaki Way, Westlands", 3, 3,"KES 150,000 per month"
310,"  Westlands Area, Westlands", 2, 2,"KES 180,000 per month"
311,"  Loresho Rd, Loresho, Westlands", 4, 2,"KES 140,000 per month"
312,"  Peponi Road, Westlands Area, Westlands", 2, 3,"KES 350,000 per month"
313,"  Lavington, Dagoretti North", 3, 1,"KES 75,000 per month"
314,"  Kiambu Rd Evergreen, Ridgeways", 3, 1,"KES 250,000 per month"
315,"  Riverside, Westlands", 4, 2,"KES 300,000 per month"
316,"  Kilimani, Dagoretti North", 2, 5,"KES 125,000 per month"
317,"  Westlands Avenue, Westlands Area, Westlands", 3, 6,"KES 110,000 per month"
318,"  Masanduku Lane, Lavington, Dagoretti North", 3, 2,"KES 170,000 per month"
319,"  Kileleshwa, Dagoretti North", 3, 2,"KES 250,000 per month"
320,"  Lavington, Dagoretti North", 3, 3,"KES 120,000 per month"
321,"  Gigiri, Westlands", 3, 1,"KES 450,000 per month"
322,"  Waiyaki Way, Mountain View, Westlands", 4, 2,"KES 120,000 per month"
323,"  Karen, Langata", 2, 2,"KES 200,000 per month"
