,property-location,h-beds,h-baths,info-row price
721,"  Forest Lane, Parklands, Westlands", 4, 1,"KES 75,000 per month"
722,"  Riverside Shiloh Riverside Place Apartment, Riverside, Westlands", 2, 3,"KES 160,000 per month"
723,"  Lavington, Dagoretti North", 4, 3,"KES 350,000 per month"
724,"  Muthaiga, North Muthaiga, Muthaiga", 5, 1,"KES 200,000 per month"
725,"  Gatundu Road, Kileleshwa, Dagoretti North", 4, 5,"KES 130,000 per month"
726,"  Karen, Langata", 2, 4,"KES 220,000 per month"
727,"  Mbaaazi Avenue, Lavington, Dagoretti North", 4, 4,"KES 90,000 per month"
728,"  Off Valley Road , Valley Road, Dagoretti North", 3, 3,"KES 370,000 per month"
729,"  Bogani Road, Karen, Langata", 3, 4,"KES 200,000 per month"
730,"  General Mathenge , Westlands Area, Westlands", 3, 3,"KES 160,000 per month"
731,"  Fourth Ngong Avenue, Upper Hill, Langata", 5, 6,"KES 79,700 per month"
732,"  Ruaka Road, Runda, Westlands", 2, 4,"KES 150,000 per month"
733,"  Karen Langata Road , Karen, Langata", 4, 2,"KES 130,000 per month"
734,"  3Rd Parklands , Parklands, Westlands", 4, 5,"KES 113,580 per month"
735,"  Lusaka Rd, Industrial Area, Embakasi North", 4, 5,"KES 300,000 per month"
736,"  Kusi Lane - Parklands , Parklands, Westlands", 2, 3,"KES 110,000 per month"
737,"  Chiromo Road , Westlands Area, Westlands", 1, 2,"KES 475,230 per month"
738,"  Waiyaki / Chiromo, Westlands Area, Westlands", 2, 5,"KES 112,590 per month"
739,"  Rose Avenue, Kilimani, Dagoretti North", 3, 3,"KES 180,000 per month"
740,"  Bogani, Karen, Langata", 3, 5,"KES 375,000 per month"
741,"  Kilimani, Dagoretti North", 3, 6,"KES 90,000 per month"
742,"  Maji Mazuri Road, Lavington, Dagoretti North", 3, 3,"KES 300,000 per month"
743,"  Waiyaki Way, Westlands Area, Westlands", 5, 8,"KES 50,300 per month"
744,"  Kileleshwa, Dagoretti North", 3, 4,"KES 135,000 per month"
745,"  Karen, Langata", 5, 4,"KES 90,000 per month"
746,"  Parklands, Westlands", 2, 4,"KES 300,000 per month"
747,  Ngong Road, 5, 2,"KES 45,000 per month"
748,"  Ndege Road, Karen, Langata", 5, 5,"KES 300,000 per month"
749,"  Westlands Area, Westlands", 2, 5,"KES 135,000 per month"
750,"  Lantana Road, Waiyaki Way, Westlands", 4, 6,"KES 150,000 per month"
751,"  Lavington, Dagoretti North", 5, 5,"KES 150,000 per month"
752,"  Riverside, Westlands", 4, 5,"KES 90,000 per month"
753,"  Kileleshwa, Dagoretti North", 4, 5,"KES 200,000 per month"
754,"  Westlands Area, Westlands", 5, 3,KES 100 per month
755,"  Muthangari Drive,, Westlands Area, Westlands", 3, 3,"KES 258,000 per month"
756,"  Limuru Road, Parklands, Westlands", 5, 4,"KES 495,550 per month"
757,"  Msanduku Rd, Off Mbaazi Avenue, Lavington, Dagoretti North", 3, 5,"KES 150,000 per month"
758,"  Fourways Junction , Kiambu Road", 5, 5,"KES 120,000 per month"
759,"  Rosslyn, Westlands", 3, 4,"KES 270,530 per month"
760,"  Jakaya Kikwete Road, Kilimani, Dagoretti North", 3, 3,"KES 90,000 per month"
761,"  Gatundu, Kileleshwa, Dagoretti North", 2, 5,"KES 65,000 per month"
762,"  Kilimani, Dagoretti North", 4, 2,"KES 85,000 per month"
763,"  Kerarapon , Ngong Road", 3, 4,"KES 80,000 per month"
764,"  Grevillia Grove, Parklands, Westlands", 5, 3,"KES 100,000 per month"
765,"  Valley Road, Dagoretti North", 4, 3,"KES 252,000 per month"
766,  Jogoo Road, 5, 4,"KES 22,050 per month"
767,"  Muringa Rd, Kilimani, Dagoretti North", 2, 3,"KES 200,000 per month"
768,"  Sheikh Karume, Cbd, Starehe", 1, 3,KES 120 per month
769,  Kiambu Road, 4, 2,"KES 55,000 per month"
770,"  Waiyaki Way, Westlands Area, Westlands", 2, 3,"KES 204,250 per month"
771,  Ridgeways, 3, 4,"KES 100,000 per month"
772,  Mombasa Road, 3, 5,"KES 30,000 per month"
773,"  Cbd, Starehe", 2, 4,"KES 119,000 per month"
774,"  Embakasi, Embakasi East", 4, 5,"KES 420,000 per month"
775,  Mombasa Road, 3, 4,KES 100 per month
776,"  Lavington, Dagoretti North", 4, 3,"KES 250,000 per month"
777,"  Nairobi Central, Starehe", 4, 2,"KES 45,000 per month"
778,"  Chiromo Road, Westlands Area, Westlands", 2, 2,"KES 1,218,000 per month"
779,"  Imara Daima, Embakasi South", 6, 2,"KES 40,000 per month"
780,"  Kamburu Drv , Hurlingham, Dagoretti North", 5, 5,"KES 100,000 per month"
781,"  Kilimani, Dagoretti North", 4, 4,"KES 85,000 per month"
782,"  Runda, Westlands", 5, 3,"KES 175,000 per month"
783,"  Adams Arcade, Kilimani, Dagoretti North", 2, 4,"KES 114,000 per month"
784,"  Mandera Close Kileleshwa, Kileleshwa, Dagoretti North", 4, 4,"KES 52,000 per month"
785,"  Kilimani, Dagoretti North", 4, 6,"KES 280,000 per month"
786,"  Lavington, Dagoretti North", 2, 4,"KES 110,000 per month"
787,"  National House, Koinange Street, Nairobi Central, Starehe", 3, 4,"KES 480,000 per month"
788,"  Lavington, Dagoretti North", 3, 2,"KES 120,000 per month"
789,"  Siaya Road, Kileleshwa, Dagoretti North", 5, 5,"KES 38,000 per month"
790,"  Jaralam Road, Parklands, Westlands", 5, 6,"KES 130,000 per month"
791,"  Lusaka Rd, Industrial Area, Embakasi North", 5, 3,"KES 58,000 per month"
792,"  Mac Centri Parc, Mombasa Road", 5, 6,"KES 240,642 per month"
793,"  Kayaweh Road, Kilimani, Dagoretti North", 3, 6,"KES 130,000 per month"
794,"  Lavington, Dagoretti North", 2, 1,"KES 80,000 per month"
795,"  Kileleshwa, Dagoretti North", 3, 5,"KES 130,000 per month"
796,"  Kilimani, Dagoretti North", 4, 2,"KES 130,000 per month"
797,"  Murishu Rd, Karen, Langata", 2, 5,"KES 180,000 per month"
798,"  Denis Pritt Road, Kilimani, Dagoretti North", 3, 4,"KES 150,000 per month"
799,"  Kirichwa Road, Kilimani, Dagoretti North", 5, 4,"KES 75,000 per month"
800,"  Kileleshwa, Dagoretti North", 4, 3,"KES 70,000 per month"
801,"  Kirichwa Road, Kilimani, Dagoretti North", 3, 4,"KES 70,000 per month"
802,"  Lenana Road, Kilimani, Dagoretti North", 4, 2,"KES 100,000 per month"
803,"  Kilimani, Dagoretti North", 4, 4,"KES 90,000 per month"
804,"  Runda, Westlands", 3, 5,"KES 550,000 per month"
805,"  Nyari, Westlands", 4, 2,"KES 350,000 per month"
806,"  Westlands Area, Westlands", 3, 5,"KES 100,000 per month"
807,"  Riverside, Westlands", 5, 1,"KES 160,000 per month"
808,"  Lavington, Dagoretti North", 1, 4,"KES 150,000 per month"
809,"  Peponi, Westlands Area, Westlands", 3, 5,"KES 330,000 per month"
810,"  Kileleshwa, Dagoretti North", 3, 4,"KES 85,000 per month"
811,"  Runda, Westlands", 5, 4,"KES 310,000 per month"
812,"  Nyari, Westlands", 4, 3,"KES 350,000 per month"
813,"  Sports Road, Waiyaki Way, Westlands", 5, 4,"KES 100,000 per month"
814,"  Lavington, Dagoretti North", 3, 5,"KES 85,000 per month"
815,"  Kilimani, Dagoretti North", 3, 2,"KES 100,000 per month"
816,"  Lavington, Dagoretti North", 2, 6,"KES 90,000 per month"
817,"  Westlands Area, Westlands", 2, 4,"KES 160,000 per month"
818,"  Brookside, Westlands Area, Westlands", 3, 3,"KES 150,000 per month"
819,"  Runda, Westlands", 1, 5,"KES 350,000 per month"
820,"  Kilimani, Dagoretti North", 3, 5,"KES 130,000 per month"
821,"  Runda, Westlands", 3, 5,"KES 210,000 per month"
822,"  Runda, Westlands", 4, 1,"KES 250,000 per month"
823,"  Kilimani, Dagoretti North", 5, 4,"KES 90,000 per month"
824,"  Kilimani, Dagoretti North", 4, 3,"KES 120,000 per month"
825,"  Lavington, Dagoretti North", 1, 3,"KES 65,000 per month"
826,"  Gatundu Close, Kileleshwa, Dagoretti North", 4, 4,"KES 75,000 per month"
827,"  Kindaruma Road, Kilimani, Dagoretti North", 3, 4,"KES 115,000 per month"
828,"  Westlands. Off Rhapta Road, Rhapta Road, Westlands", 3, 3,"KES 80,000 per month"
829,"  Karen, Langata", 2, 6,"KES 85,000 per month"
830,"  Marist Ln Karen , Karen, Langata", 4, 2,"KES 80,000 per month"
831,"  Lavington, Dagoretti North", 2, 5,"KES 300,000 per month"
832,"  Fair Acres , Karen, Langata", 3, 4,"KES 80,000 per month"
833,"  Ruaka Road, Runda, Westlands", 5, 3,"KES 350,000 per month"
834,"  Kirichwa Road Kilimani Sapphire Court, Kilimani, Dagoretti North", 4, 2,"KES 65,000 per month"
835,"  Convent Rd, Lavington, Dagoretti North", 3, 1,"KES 350,000 per month"
836,"  Lavington, Dagoretti North", 5, 4,"KES 250,000 per month"
837,"  Lavington, Dagoretti North", 1, 2,"KES 65,000 per month"
838,"  Runda, Westlands", 4, 6,"KES 350,000 per month"
839,"  Lavington, Dagoretti North", 4, 3,"KES 450,000 per month"
840,"  Westlands Area, Westlands", 3, 5,"KES 190,000 per month"
841,"  Runda, Westlands", 2, 4,"KES 380,000 per month"
842,"  Runda, Westlands", 3, 2,"KES 380,000 per month"
843,"  Parklands, Westlands", 4, 3,"KES 120,000 per month"
844,"  Cycads Runda, Runda, Westlands", 2, 1,"KES 370,000 per month"
845,"  Sherwood Apartment Riara Rd , Kilimani, Dagoretti North", 4, 2,"KES 110,000 per month"
846,"  Runda, Westlands", 4, 4,"KES 300,000 per month"
847,"  Parklands, Westlands", 5, 7,"KES 270,000 per month"
848,"  Kileleshwa, Dagoretti North", 5, 2,"KES 200,000 per month"
849,"  Westlands Area, Westlands", 5, 6,"KES 100,000 per month"
850,"  Runda, Westlands", 4, 2,"KES 300,000 per month"
851,"  Lavington, Dagoretti North", 4, 4,"KES 110,000 per month"
852,"  Runda, Westlands", 4, 4,"KES 350,000 per month"
853,  Kiambu Road, 5, 3,"KES 90,000 per month"
854,"  Runda, Westlands", 5, 3,"KES 300,000 per month"
855,"  Kindaruma Road, Kilimani, Dagoretti North", 5, 3,"KES 70,000 per month"
856,"  Riverside, Westlands", 5, 3,"KES 120,000 per month"
857,"  Riverside, Westlands", 5, 3,"KES 210,000 per month"
858,"  Kilimani, Dagoretti North", 4, 4,"KES 75,000 per month"
859,"  Lavington, Dagoretti North", 4, 3,"KES 120,000 per month"
860,"  Kiambu Road Fourways Junction, Kiambu Road", 2, 2,"KES 95,000 per month"
861,"  Lakeview Estate, Lake View, Westlands", 5, 4,"KES 273,000 per month"
862,"  Lavington, Dagoretti North", 6, 4,"KES 150,000 per month"
863,"  Kileleshwa, Dagoretti North", 5, 5,"KES 180,000 per month"
864,"  Kilimani, Dagoretti North", 4, 2,"KES 120,000 per month"
865,"  Woodvalle Drive, Runda, Westlands", 4, 5,"KES 325,000 per month"
866,"  Ndege Road, Karen, Langata", 1, 3,"KES 170,000 per month"
867,"  Kilimani, Dagoretti North", 3, 3,"KES 180,000 per month"
868,"  Kilimani, Dagoretti North", 5, 1,"KES 120,000 per month"
869,"  North Muthaiga, Muthaiga", 3, 6,"KES 220,000 per month"
870,"  Karen Road , Karen, Langata", 3, 6,"KES 77,000 per month"
871,"  North Muthaiga, Muthaiga", 4, 3,"KES 250,000 per month"
872,"  Riverside, Westlands", 3, 1,"KES 130,000 per month"
873,"  State House, Dagoretti North", 4, 4,"KES 165,000 per month"
874,"  Runda, Westlands", 4, 4,"KES 280,000 per month"
875,"  Laikipia Road, Riverside, Westlands", 5, 5,"KES 70,000 per month"
876,"  Muthaiga, Old Muthaiga, Muthaiga", 5, 3,"KES 90,000 per month"
877,"  Gitanga Rd Lavington, Lavington, Dagoretti North", 3, 2,"KES 200,000 per month"
878,"  Runda, Westlands", 3, 6,"KES 350,000 per month"
879,"  Runda, Westlands", 4, 3,"KES 350,000 per month"
880,"  Runda, Westlands", 2, 5,"KES 350,000 per month"
881,"  Daisy Drive, Gigiri, Westlands", 4, 1,"KES 270,000 per month"
882,"  Kilimani, Dagoretti North", 3, 5,"KES 125,000 per month"
883,"  14 Riverside Drive, Riverside, Westlands", 4, 4,"KES 581,310 per month"
884,"  Westlands Area, Westlands", 3, 3,"KES 110,000 per month"
885,"  Kilimani, Dagoretti North", 5, 4,"KES 160,000 per month"
886,"  Kileleshwa, Dagoretti North", 3, 3,"KES 90,000 per month"
887,"  Kileleshwa, Dagoretti North", 3, 3,"KES 75,000 per month"
888,"  Runda, Westlands", 3, 3,"KES 180,000 per month"
889,"  Serem Road, Off Lunga Lunga Road, Industrial Area, Embakasi North", 5, 4,"KES 1,200,000 per month"
890,"  Runda, Westlands", 5, 4,"KES 270,000 per month"
891,"  Hill View, Westlands", 4, 5,"KES 270,000 per month"
892,"  Lavington, Dagoretti North", 3, 6,"KES 170,000 per month"
893,"  General Mathenge, Westlands", 4, 4,"KES 150,000 per month"
894,"  Lavington Green, Lavington, Dagoretti North", 5, 1,"KES 260,000 per month"
895,"  Gigiri, Westlands", 2, 2,"KES 300,000 per month"
896,"  Nyari, Westlands", 5, 1,"KES 300,000 per month"
897,"  Kirichwa Road, Kilimani, Dagoretti North", 4, 4,"KES 130,000 per month"
898,"  Kileleshwa, Dagoretti North", 3, 5,"KES 300,000 per month"
899,"  State House Road, Kilimani, Dagoretti North", 1, 1,"KES 70,000 per month"
900,"  New Kitisuru Westlands Area, New Kitusuru, Westlands", 4, 4,"KES 45,000 per month"
901,"  Mpaka Rd Westlands, Westlands Area, Westlands", 6, 1,"KES 150,000 per month"
902,"  Nyari, Westlands", 4, 3,"KES 600,000 per month"
903,"  Runda, Westlands", 4, 1,"KES 290,000 per month"
904,"  Runda, Westlands", 1, 6,"KES 380,000 per month"
905,"  Turbo Road, Kilimani, Dagoretti North", 1, 4,"KES 85,000 per month"
906,"  Forest Edge Road , Karen, Langata", 10, 3,"KES 75,000 per month"
907,"  School Ln Near Sarit Center, Kitisuru, Westlands", 3, 4,"KES 140,000 per month"
908,"  Kilimani, Dagoretti North", 5, 6,"KES 135,000 per month"
909,"  Kileleshwa, Dagoretti North", 5, 2,"KES 150,000 per month"
910,"  Kilimani, Dagoretti North", 3, 6,"KES 110,000 per month"
911,"  General Mathenge, Westlands", 1, 5,"KES 150,000 per month"
912,"  Riverside, Westlands", 3, 4,"KES 130,000 per month"
913,  Ridgeways, 3, 4,"KES 250,000 per month"
914,"  North Muthaiga, Off Kiambu Rd, Ridgeways", 4, 2,"KES 200,000 per month"
915,"  Silanga Road, Karen, Langata", 2, 2,"KES 155,000 per month"
916,"  Kileleshwa, Dagoretti North", 4, 5,"KES 130,000 per month"
917,"  Lavington, Dagoretti North", 4, 4,"KES 160,000 per month"
918,"  Lavington, Dagoretti North", 4, 1,"KES 150,000 per month"
919,"  Karura, Westlands", 3, 3,"KES 250,000 per month"
920,"  Kileleshwa, Dagoretti North", 6, 1,"KES 75,000 per month"
921,"  Lavington, Dagoretti North", 5, 1,"KES 200,000 per month"
922,"  Riverside, Westlands", 2, 2,"KES 150,000 per month"
923,"  Kilimani, Dagoretti North", 1, 3,"KES 160,000 per month"
924,"  Rosslyn, Westlands", 2, 3,"KES 400,000 per month"
925,"  Lavington, Dagoretti North", 5, 4,"KES 350,000 per month"
926,"  Kikambala, Kileleshwa, Dagoretti North", 3, 3,"KES 95,000 per month"
927,"  Runda, Westlands", 4, 4,"KES 350,000 per month"
928,"  Westlands Area, Westlands", 3, 4,"KES 120,000 per month"
929,"  Kilimani, Dagoretti North", 4, 1,"KES 170,000 per month"
930,"  Lavington, Dagoretti North", 3, 1,"KES 190,000 per month"
931,"  Riverside, Westlands", 3, 4,"KES 230,000 per month"
932,"  Kilimani, Dagoretti North", 6, 4,"KES 75,000 per month"
933,"  Kilimani, Dagoretti North", 5, 2,"KES 85,000 per month"
934,"  Lavington, Dagoretti North", 2, 4,"KES 190,000 per month"
935,"  Kilimani, Dagoretti North", 5, 4,"KES 180,000 per month"
936,"  Karen, Langata", 4, 3,"KES 180,000 per month"
937,"  Dennis Pritt, Dagoretti North", 4, 4,"KES 90,000 per month"
938,"  Nyari, Westlands", 3, 3,"KES 400,000 per month"
939,"  Lavington, Dagoretti North", 3, 1,"KES 250,000 per month"
940,"  Lavington, Dagoretti North", 3, 4,"KES 350,000 per month"
941,"  Kirichwa Road, Kilimani, Dagoretti North", 5, 3,"KES 160,000 per month"
942,"  Lavington, Dagoretti North", 4, 4,"KES 220,000 per month"
943,"  Lavington, Dagoretti North", 2, 4,"KES 200,000 per month"
944,"  Lavington, Dagoretti North", 3, 2,"KES 250,000 per month"
945,"  Nyari, Westlands", 4, 6,"KES 450,000 per month"
946,"  Lavington, Dagoretti North", 4, 2,"KES 350,000 per month"
947,"  Lavington, Dagoretti North", 3, 5,"KES 230,000 per month"
948,"  Lavington, Dagoretti North", 3, 1,"KES 250,000 per month"
949,"  Lavington, Dagoretti North", 5, 4,"KES 220,000 per month"
950,"  Lavington, Dagoretti North", 3, 2,"KES 200,000 per month"
951,"  Riara Road, Kilimani, Dagoretti North", 3, 2,"KES 75,000 per month"
952,"  Lavington, Dagoretti North", 5, 2,"KES 220,000 per month"
953,"  Karen, Langata", 4, 4,"KES 400,000 per month"
954,"  Riverside, Westlands", 2, 2,"KES 110,000 per month"
955,"  Spring Valley, Westlands", 4, 3,"KES 330,000 per month"
956,"  Runda, Westlands", 3, 2,"KES 350,000 per month"
957,"  Lavington, Dagoretti North", 3, 4,"KES 120,000 per month"
958,"  Kileleshwa, Dagoretti North", 3, 4,"KES 68,000 per month"
959,"  Runda, Westlands", 4, 2,"KES 370,000 per month"
960,"  Parklands, Westlands", 4, 4,"KES 75,000 per month"
961,"  Kileleshwa, Dagoretti North", 3, 4,"KES 140,000 per month"
962,"  Runda, Westlands", 3, 4,"KES 275,000 per month"
963,"  Kilimani, Dagoretti North", 4, 5,"KES 90,000 per month"
964,"  Kileleshwa, Dagoretti North", 4, 4,"KES 160,000 per month"
965,"  Lavington, Dagoretti North", 3, 2,"KES 120,000 per month"
966,"  Lavington, Dagoretti North", 4, 2,"KES 300,000 per month"
967,"  Runda, Westlands", 4, 2,"KES 350,000 per month"
968,"  Dagoretti Corner, Dagoretti South", 4, 1,"KES 55,000 per month"
969,"  Sandalwood Lane Off Riverside Drive, Riverside, Westlands", 5, 3,"KES 170,000 per month"
970,"  Lavington, Dagoretti North", 5, 4,"KES 200,000 per month"
971,"  Karen, Langata", 3, 4,"KES 120,000 per month"
972,"  Lavington, Dagoretti North", 3, 5,"KES 190,000 per month"
973,"  General Mathenge, Westlands", 4, 3,"KES 160,000 per month"
974,  Ridgeways, 3, 3,"KES 135,000 per month"
975,"  Riverside, Westlands", 3, 4,"KES 300,000 per month"
976,"  State House, Dagoretti North", 4, 4,"KES 330,000 per month"
977,"  Nandi Road, Karen, Langata", 3, 6,"KES 280,000 per month"
978,"  Kilimani, Dagoretti North", 4, 3,"KES 90,000 per month"
979,"  Forest Road, Parklands, Westlands", 3, 3,"KES 95,000 per month"
980,"  Lavington, Dagoretti North", 4, 2,"KES 220,000 per month"
981,"  Runda, Westlands", 5, 2,"KES 450,000 per month"
982,"  Karura, Westlands", 2, 3,"KES 190,000 per month"
983,"  Riverside, Westlands", 4, 1,"KES 200,000 per month"
984,"  Runda, Westlands", 5, 1,"KES 400,000 per month"
985,"  School Lane, Parklands, Westlands", 4, 1,"KES 300,000 per month"
986,"  Muthaiga Area, Muthaiga", 3, 2,"KES 190,000 per month"
987,"  Valley Arcade, Lavington, Dagoretti North", 2, 2,"KES 70,000 per month"
988,"  Donyo Sabuk Lane, General Mathenge, Westlands", 4, 1,"KES 215,000 per month"
989,"  Runda Drive, Runda, Westlands", 3, 1,"KES 230,000 per month"
990,"  Riverside, Westlands", 2, 1,"KES 170,000 per month"
991,"  Kilimani, Dagoretti North", 3, 1,"KES 70,000 per month"
992,"  Kilimani, Dagoretti North", 4, 2,"KES 180,000 per month"
993,"  Gitanga Road, Kileleshwa, Dagoretti North", 5, 3,"KES 280,000 per month"
994,"  Runda, Westlands", 5, 3,"KES 400,000 per month"
995,"  Lavington, Dagoretti North", 4, 1,"KES 210,000 per month"
996,"  Riverside, Westlands", 3, 5,"KES 95,000 per month"
997,"  Westlands Area, Westlands", 4, 1,"KES 110,000 per month"
998,"  Lavington, Dagoretti North", 5, 1,"KES 550,000 per month"
999,"  Nyari, Westlands", 4, 4,"KES 250,000 per month"
1000,"  Runda, Westlands", 2, 2,"KES 330,000 per month"
1001,"  Runda, Westlands", 5, 2,"KES 470,000 per month"
1002,"  Lavington, Dagoretti North", 5, 3,"KES 150,000 per month"
1003,"  Karen, Langata", 3, 3,"KES 45,000 per month"
1004,"  Riverside, Westlands", 2, 3,"KES 200,000 per month"
1005,"  Riverside, Westlands", 5, 4,"KES 280,000 per month"
1006,  Kiambu Road, 3, 5,"KES 165,000 per month"
1007,"  Nairobi West, Langata", 4, 2,"KES 55,000 per month"
1008,"  Kist, Kiambu Road, Nairobi, Kiambu Road", 2, 1,"KES 100,000 per month"
1009,  Kiambu Road, 4, 5,"KES 110,000 per month"
1010,"  Lavington, Dagoretti North", 4, 2,"KES 250,000 per month"
1011,"  Kileleshwa, Dagoretti North", 7, 2,"KES 170,000 per month"
1012,"  Siaya, Kileleshwa, Dagoretti North", 4, 1,"KES 150,000 per month"
1013,"  Nyari Estate, Nyari, Westlands", 4, 4,"KES 450,000 per month"
1014,"  Kilimani, Dagoretti North", 4, 3,"KES 75,000 per month"
1015,"  Kileleshwa, Dagoretti North", 2, 6,"KES 90,000 per month"
1016,  Kiambu Road, 4, 9,"KES 31,000 per month"
1017,"  Ndege Road , Karen, Langata", 5, 4,"KES 450,000 per month"
1018,"  Ole Odume Road, Lavington, Dagoretti North", 5, 5,"KES 180,000 per month"
1019,"  Muthaiga Area, Muthaiga", 5, 3,"KES 300,000 per month"
1020,"  Riverside, Westlands", 5, 4,"KES 125,000 per month"
1021,"  Runda Woodvalle , Runda, Westlands", 4, 4,"KES 350,000 per month"
1022,"  Nyeri Road,Kileleshwa, Kileleshwa, Dagoretti North", 4, 7,"KES 90,000 per month"
1023,"  Near Lions Eye Hospital, Loresho, Westlands", 4, 7,"KES 70,000 per month"
1024,"  Hardy, Karen, Langata", 3, 4,"KES 270,000 per month"
1025,"  Gigiri, Westlands", 2, 2,"KES 350,000 per month"
1026,"  Riverside, Westlands", 4, 3,"KES 140,000 per month"
1027,"  Runda, Westlands", 4, 1,"KES 400,000 per month"
1028,"  Lake View, Westlands", 4, 2,"KES 275,000 per month"
1029,"  Lavington, Dagoretti North", 4, 4,"KES 315,000 per month"
1030,"  Kilimani, Dagoretti North", 4, 2,"KES 150,000 per month"
1031,"  Riverside, Westlands", 5, 2,"KES 250,000 per month"
1032,"  Westlands Area, Westlands", 4, 2,"KES 80,000 per month"
1033,"  Muthaiga North, North Muthaiga, Muthaiga", 3, 2,"KES 250,000 per month"
1034,"  Miotoni, Karen, Langata", 3, 4,"KES 300,000 per month"
1035,"  Lavington, Dagoretti North", 4, 1,"KES 85,000 per month"
1036,"  Vihiga Road, Kileleshwa, Dagoretti North", 3, 4,"KES 140,000 per month"
1037,"  Lake View, Westlands", 4, 4,"KES 270,000 per month"
1038,"  Runda, Westlands", 2, 3,"KES 320,000 per month"
1039,"  Riara Road, Lavington, Dagoretti North", 3, 5,"KES 120,000 per month"
1040,"  Kileleshwa, Dagoretti North", 2, 5,"KES 140,000 per month"
1041,"  Karen, Langata", 4, 2,"KES 185,000 per month"
1042,"  3Rd Parklands, Parklands, Westlands", 4, 4,"KES 265,200 per month"
1043,"  Kilimani, Dagoretti North", 5, 1,"KES 100,000 per month"
1044,"  Kilimani, Dagoretti North", 4, 3,"KES 110,000 per month"
1045,"  Rosslyn, Westlands", 4, 2,"KES 380,000 per month"
1046,"  Runda, Westlands", 4, 2,"KES 300,000 per month"
1047,"  Karen, Langata", 4, 3,"KES 65,000 per month"
1048,"  Off Lantana Road, Westlands Area, Westlands", 2, 2,"KES 450,000 per month"
1049,"  Ita Road, Parklands, Westlands", 4, 4,"KES 135,000 per month"
1050,"  Parklands, Westlands", 2, 2,"KES 80,000 per month"
1051,"  Riverside, Westlands", 4, 3,"KES 110,000 per month"
1052,"  Kileleshwa, Dagoretti North", 5, 4,"KES 85,000 per month"
1053,"  Karen, Langata", 5, 2,"KES 150,000 per month"
1054,  Ridgeways, 6, 3,"KES 400,000 per month"
1055,"  Dennis Pritt Road, Dennis Pritt, Dagoretti North", 3, 4,"KES 110,000 per month"
1056,"  Jacaranda Gardens, Kamiti, Muthaiga", 4, 4,"KES 55,000 per month"
1057,"  Karen Dagoreti Road, Karen, Langata", 4, 4,"KES 150,000 per month"
1058,"  Runda, Westlands", 5, 4,"KES 300,000 per month"
1059,"  Westlands Area, Westlands", 5, 2,"KES 120,000 per month"
1060,"  Dennis Pritt, Dagoretti North", 4, 2,"KES 200,000 per month"
1061,"  Runda, Westlands", 3, 3,"KES 200,000 per month"
1062,"  Karen, Langata", 4, 2,"KES 180,000 per month"
1063,"  Karen, Langata", 5, 4,"KES 200,000 per month"
1064,"  Langata Road, Karen, Langata", 4, 4,"KES 185,000 per month"
1065,"  Kileleshwa, Dagoretti North", 3, 2,"KES 130,000 per month"
1066,"  Karen, Langata", 3, 5,"KES 100,000 per month"
1067,"  Varly Arcade, Lavington, Dagoretti North", 5, 5,"KES 180,000 per month"
1068,"  Kilimani, Dagoretti North", 5, 5,"KES 95,000 per month"
1069,"  Karen Road, Karen, Langata", 1, 4,"KES 160,000 per month"
1070,  Ngong Road, 1, 1,"KES 157,200 per month"
1071,"  Lavington, Dagoretti North", 6, 3,"KES 200,000 per month"
1072,"  Kilimani, Dagoretti North", 3, 2,"KES 250,000 per month"
1073,"  Karen, Langata", 2, 6,"KES 260,000 per month"
1074,"  Lavington, Dagoretti North", 3, 2,"KES 85,000 per month"
1075,"  Mukoma, Karen, Langata", 3, 2,"KES 150,000 per month"
1076,"  Gigiri, Westlands", 5, 4,"KES 330,000 per month"
1077,"  State House, Dagoretti North", 4, 4,"KES 100,000 per month"
1078,"  Riverside, Westlands", 4, 3,"KES 300,000 per month"
1079,"  Karen, Langata", 4, 3,"KES 300,000 per month"
1080,"  Lavington, Dagoretti North", 4, 7,"KES 280,000 per month"
1081,"  Masai Lane Rd, Karen, Langata", 2, 4,"KES 140,000 per month"
1082,"  Griveria Drive, Riverside, Westlands", 5, 4,"KES 65,000 per month"
1083,"  Lavington, Dagoretti North", 4, 3,"KES 360,000 per month"
1084,"  Donyo Sabuk Lane, General Mathenge, Westlands", 4, 1,"KES 150,000 per month"
1085,"  Karen, Langata", 3, 4,"KES 120,000 per month"
1086,"  State House, Dagoretti North", 5, 4,"KES 100,000 per month"
1087,"  Langata Area, Langata", 4, 2,"KES 140,000 per month"
1088,"  Nyari, Westlands", 4, 2,"KES 195,000 per month"
1089,"  Riverside Drive, Riverside, Westlands", 5, 3,"KES 250,000 per month"
1090,"  Runda Drive, Runda, Westlands", 2, 3,"KES 290,000 per month"
1091,"  Brookside Gardens, Brookside, Westlands", 3, 2,"KES 250,000 per month"
1092,  Ridgeways, 4, 3,"KES 180,000 per month"
1093,"  Karen, Langata", 5, 2,"KES 230,000 per month"
1094,"  Runda, Westlands", 4, 4,"KES 220,000 per month"
1095,"  Jacaranda Gardens, Kamiti Rd, Zimmermann, Roysambu", 6, 7,"KES 45,000 per month"
1096,"  Lavington, Dagoretti North", 4, 4,"KES 300,000 per month"
1097,"  Thigiri, Westlands", 4, 3,"KES 350,000 per month"
1098,"  Ngong Vet, Karen, Langata", 2, 2,"KES 50,000 per month"
